Frage ,Bewertung
"Liebes Sympany Team, was zahlt ihr an ein Fitness Abo?",1
"Liebes Sympany Team, was zahlt ihr an ein Fitness Abo?",1
Ich bin in einem Sportverein. Zahl die Sympany hier etwas?,0
Ich bin Brillenträger. Zahlt ihr etwas an meine Brille?,1
Kann ich die Brille im Ausland beziehen?,1
"Hallo Sympany, ich habe demnächst einen Spitalaufenthalt. Wie sieht eure Kostenbeteiligung aus?",0
Ich hatte einen Spitalaufenthalt und muss jetzt in die Reha. Was zahlt Sympany für einen Beitrag?,1
Aufgrund eines Spitalaufenthalt benötige ich Unterstützung im die Kostenbeteiligung von Sympany aus? ,1
Ich habe einen Zahnversicherung bei der Sympany. Was zahlt ihr alles daraus?,1
Zahlt ihr eine Physiotherapie?,1
Ich gehe in die Ferien. Wie bin ich versichert? Muss ich zusätzlich etwas abschliessen?,1
Ist Physiotherapie durch die Grundversicherung abgedeckt?,1
Erklären Sie mir bitte die Leistungsabrechnung? Weshalb muss ich die Arztkosten übernehmen? ,0
Warum habe ich einen Verstossbrief erhalten?,0
Bezahlt meine ambulante Zusatzversicherung die klassische Massage?,1
"Ich benötige ein Hörgerät, wird ein Teil von der Versicherung übernommen? ",1
"Heute habe die rechnug bekomen von 2.849.60fr und das ist unmöglich auf einmal zu zahlen. Können wir einen weg finden raten zahlen?
können wir ein weg finden raten zahlen ? ",1
Ich habe eine Rechnung über 35 Fr. von Frau Carla Wullschleger bei der St Peter Apotheke eingereicht. Leider habe ich dafür keine Rückerstattzng bekommen. Gemäss Zusatzversicherung müsste ich jedoch 50% bekommen da Frau Wullschleger auf ihrer Homepage als anerkannte Therapeutin aufgeführt ist und ich deshalb auch zu ihr gegangen bin. Sie hat mir danach auch die natürlichen Heilmittel inkl. Homöopathie verschrieben. ,1
"Ich muss sicherheitshalber nochmals nachfragen. Wäre auch die Biodynamische Therapie von meiner Zusatzversicherung gedeckt? Das wäre eventuell auch eine Behandlungsmethode, welche für mich geeignet wäre.",1
Auf der letzten Rechnung von 5.60 Fr. Fehlt der QR Code.?( ,1
Die oben erwähnte Leistungsabrechnung betrifft Schwangerschaft und nicht Krankheit. Gemäss KVG Art. 29 dürfen währen der Schwangerschaft kein Selbstbehalt oder Franchise verrechnet werden. Bitte korrigieren Sie die Rechnung.,1
"Ich habe eine Leistungsabrechnung bekommen für die Behandlung am 6.3.23 wegen Krankheit bei Herrn Walter Schneider. An diesem Termin war ich weder dort, noch wurde behandelt. Bitte um Klärung.",0
"Ich bin mir nicht sicher und wollte gerne nachfragen ob ich in meiner KKV oder VVg eine Chiropraktiker und deren Medizinischen Massagen ind meiner Versicherung inbegriffen habe. Es ist jetzt leider so das ich dies in Anspruch nehmen muss. Es wäre für die Praxis Beglinger/Hungebuehler 
Bahnhofstrasse.61
3400 Burgdorf Meine Kundennummer 
202726412 
Witschi Tamara
Oberburgstrasse.37
3400 Burgdorf ",1
"Information an sympany von Markus Roland Studer
Ich darf sie dahingehend orientieren, als dass ich am Freitag, 24.03.2023, 11:00 Uhr zur Vorsorge-Untersuchung Endoskopie im Spital Bülach, in Absprache mit meinem Hausarzt Dr. med. Koch Ärztezentrum Niederweningen, aufgeboten bin.
Für ihre dauernde tadellose Arbeit danke ich herzlich.",1
"Guten Tag
Ich wollte mich erkundigen wegen der letzten Rechnung von leonora greco
Es sind 2 mal die gleichen Beträge, ist das ein Fehler oder sind das 2 Rechnungen mit der selben Summe?",1
"Wie kann ich eine Rückerstattung fürs Fitnessabo anfordern?
Freundliche Grüsse",1
ich habe eben ihren Brief zu meinem angeblichen Nicht-Einhalten des vorgesehenen Behandlungsweg erhalten. Ich habe sie im September über den Wechsel der HMO Praxis informiert und eine Bestätigung ihrer Mitarbeiterin erhalten. Inwiefern habe ich mich also nicht an den Behandlungsweg gehalten?,1
"Guten Tag, mich interessiert, wie viel Sie für eine Brille bezahlen, und wenn das jedes Jahr oder jedes zweite Jahr so ist, vielen Dank, Fam. Zejnić",1
"Guten Tag
Ich habe einen genetisch bedingten Hörverlust und habe deshalb seit einigen Jahren Hörgeräte.
Nun müssen diese erneuert werden. Die IV bezahlt die Kontrolle beim HNO-Arzt.
Nun muss ich in drei Monaten noch eine Nachkontrolle bei Prof. Dr. M. Maassen in Luzern machen.
Ich bin seit vielen Jahren bei diesem HNO-Arzt, auch wurde ich schon 2020 von meinem Hausarzt Dr. Markus Dahinden in Luzern an ihn überwiesen.
Braucht es für diesen Kontrolluntersuch (Hörttest mit und ohne Hörgeräte) wieder eine Ueberweisungsbestätigung des Hausarztes?
Besten Dank für Ihre Auskunft.
Freundliche Grüsse",0
"Kann ich, wenn ich älter als 65 Jahre alt bin ein premium oder plus Angebot abschliessen?",1
Kann ich auch im Ausland bei euch versichert sein?,1
Was ist das KVG?,1
Kann ich mit einem premium Paket gratis Sprechstunden mit Ärzten haben? Wenn ja wie viele?,0
Ich war im Ausland und habe eine Rechnung von 300 Euro wie viel wird übernommen?,1
Was genau habe ich mit eiiner globalen Versicherung inbegriffen?,1
Ich musste notfallmässig zum im Ausland Arzt. Dies kostete mich 250 CHF. Was wird davon übernommen?,1
"Wie lange sind die Leistungen von plus oder premium Zusatzversicherungen verfügbar, wenn ich eine chronische Erkrankung habe, die langfristige Behandlungen erfordert?",1
"Wie lange kann ich die Leistungen von plus oder premium Zusatzversicherungen in Anspruch nehmen, wenn ich eine Operation im Ausland benötige?",1
"Wie lange sind die Leistungen von plus oder premium Zusatzversicherungen verfügbar, wenn ich eine kurzfristige medizinische Behandlung im Ausland benötige?",1
"Wie lange kann ich die Leistungen von plus oder premium Zusatzversicherungen in Anspruch nehmen, wenn ich eine Schwangerschaft verlängert habe und Komplikationen auftreten?",1
"Wie lange sind die Leistungen von plus oder premium Zusatzversicherungen verfügbar, wenn ich an einer psychischen Erkrankung leide, die langfristige Behandlungen erfordert?",1
Welche Impfungen werden von der Zusatzversicherung bezahlt und bis zu welchem Betrag pro Kalenderjahr?,1
Werden auch Reiseimpfungen von der Zusatzversicherung bezahlt?,1
